,Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global
119,Steep,2016,Sports,Ubisoft,230000,600000,20000,150000,1010000
120,LEGO Marvel's Avengers,2016,Action,Warner Bros. Interactive Entertainment,310000,530000,10000,160000,1010000
121,Evolve,2015,Shooter,2K Games,380000,410000,50000,160000,1010000
122,EA Sports UFC 3,2018,Sports,EA Sports,400000,410000,10000,160000,970000
123,Final Fantasy X/X-2 HD Remaster,2015,Role-Playing,Square Enix,340000,360000,70000,140000,900000
124,Ni no Kuni II: Revenant Kingdom,2018,Role-Playing,Namco Bandai Games,330000,310000,120000,130000,890000
125,God of War III,2015,Action,Sony Computer Entertainment,400000,330000,20000,150000,890000
126,BioShock The Collection,2016,Shooter,2K Games,410000,280000,30000,140000,860000
127,Thief 4,2014,Action,Square Enix,280000,410000,30000,130000,850000
128,Farming Simulator 17,2016,Simulation,Focus Home Interactive,190000,520000,10000,130000,850000
129,The Crew 2,2018,Racing,Ubisoft,220000,420000,50000,120000,820000
130,Pro Evolution Soccer 2016,2015,Sports,Konami Digital Entertainment,140000,430000,140000,100000,820000
131,ARK: Survival Evolved,2017,Action,Studio Wildcard,280000,290000,140000,110000,810000
133,Assassin's Creed The Ezio Collection,2016,Action,Ubisoft,140000,520000,20000,120000,790000
134,Final Fantasy XIV: A Realm Reborn,2014,MMO,Square Enix,350000,230000,80000,120000,790000
135,Destiny: The Collection,2016,Shooter,Activision,240000,400000,20000,120000,780000
136,F1 2016 (Codemasters),2016,Racing,Codemasters,70000,560000,30000,110000,780000
137,Hitman (2016),2017,Action,Square Enix,240000,360000,60000,110000,780000
138,Pro Evolution Soccer 2015,2014,Sports,Konami Digital Entertainment,90000,450000,120000,100000,760000
139,LEGO City Undercover,2017,Platform,Warner Bros. Interactive Entertainment,170000,460000,10000,120000,750000
140,Pro Evolution Soccer 2018,2017,Sports,Konami Digital Entertainment,120000,360000,190000,90000,750000
141,Pro Evolution Soccer 2017,2016,Sports,Konami Digital Entertainment,80000,410000,180000,90000,750000
142,Deus Ex: Mankind Divided,2016,Role-Playing,Square Enix,250000,340000,10000,120000,720000
143,The LEGO Movie Videogame,2014,Action-Adventure,Warner Bros. Interactive Entertainment,260000,320000,10000,110000,710000
144,Marvel vs. Capcom: Infinite,2017,Fighting,Capcom,360000,190000,40000,110000,700000
145,Dark Souls II,2015,Role-Playing,Namco Bandai Games,270000,230000,90000,100000,690000
